player,season,team,position,gp,mpg,usage,structural_influence,influence_residual,usage_percentile,influence_percentile,role_classification,canonical_archetype,influence_cv
T. Craig,2022-23,PHX,F,79.0,24.7,0.128,0.022309210199049,0.007864385980311122,10.335497835497835,74.45887445887446,CONNECTOR / HUB,CONNECTOR / HUB,0.6934294194568352
C. Capela,2022-23,ATL,C,65.0,26.6,0.151,0.0217328255293547,0.007267842254592273,25.757575757575758,74.13419913419914,CONNECTOR / HUB,,0.41326741239838877
D. Clingan,2024-25,POR,C,67.0,19.8,0.135,0.0213141237739009,0.00944667958591242,14.285714285714285,73.7012987012987,CONNECTOR / HUB,CONNECTOR / HUB,0.3924498259198493
K. Murray,2023-24,POR,F,62.0,21.7,0.136,0.0204300133619883,0.006939516225377222,15.259740259740258,73.26839826839827,CONNECTOR / HUB,CONNECTOR / HUB,0.8081909774903333
S. Aldama,2024-25,MEM,F-C,65.0,25.5,0.179,0.0203125672544383,0.0006807750674051212,48.86363636363637,73.16017316017316,CONNECTOR / HUB,,1.0461777994838293
C. Houstan,2022-23,ORL,G,51.0,15.9,0.107,0.0201950984330292,0.008932121893282427,2.976190476190476,72.94372294372295,CONNECTOR / HUB,CONNECTOR / HUB,0.5219508481966735
L. Kornet,2024-25,BOS,C-F,73.0,18.6,0.111,0.0201940786143123,0.008368462318404131,4.004329004329004,72.83549783549783,CONNECTOR / HUB,CONNECTOR / HUB,0.8647428763630545
L. Kennard,2024-25,MEM,G,65.0,22.6,0.14,0.0183251752518874,0.003919532244681138,17.37012987012987,70.88744588744589,CONNECTOR / HUB,CONNECTOR / HUB,0.6491375946633049
K. Matković,2024-25,NOP,F-C,42.0,18.8,0.155,0.0182987771487722,0.006410343501771229,28.19264069264069,70.77922077922078,CONNECTOR / HUB,,0.9642550094246777
L. Nance Jr.,2022-23,NOP,F-C,65.0,21.2,0.118,0.0159818435165504,0.0037384137703265503,6.0606060606060606,69.15584415584416,CONNECTOR / HUB,CONNECTOR / HUB,0.8178945413652785
R. Williams III,2022-23,BOS,C-F,35.0,23.5,0.113,0.0159152369930698,0.004714607503811705,4.816017316017316,69.04761904761905,CONNECTOR / HUB,CONNECTOR / HUB,1.044323153327589
M. Gueye,2024-25,ATL,F,33.0,16.1,0.155,0.0157220421107681,0.0044539140883338366,28.19264069264069,68.83116883116884,CONNECTOR / HUB,,1.0701337554082138
G. Payton II,2024-25,GSW,G,62.0,15.0,0.156,0.0150578432124137,0.002603678456431599,29.49134199134199,67.96536796536796,CONNECTOR / HUB,,0.7723476258290456
L. Kennard,2023-24,MEM,G,39.0,25.6,0.166,0.0149849157095967,0.0019599655201006892,38.74458874458874,67.85714285714286,CONNECTOR / HUB,,0.6491375946633049
S. Merrill,2023-24,CLE,G,61.0,17.5,0.17,0.0149465240292284,0.0009932319548544774,41.66666666666667,67.64069264069265,CONNECTOR / HUB,,0.4449622342915447
S. Adams,2022-23,MEM,C,42.0,27.0,0.139,0.014307708122093,0.002816998859850206,16.504329004329005,66.55844155844156,CONNECTOR / HUB,CONNECTOR / HUB,0.25103585491057034
D. Bertans,2023-24,CHA,F,43.0,15.7,0.169,0.0140524780924479,0.002535536728193611,40.909090909090914,66.12554112554112,CONNECTOR / HUB,,0.8216779208444527
R. Rupert,2023-24,POR,G-F,39.0,16.2,0.131,0.0135380708691981,0.0021587792787344726,11.796536796536797,65.6926406926407,CONNECTOR / HUB,CONNECTOR / HUB,1.00724077177493
D. Jordan,2022-23,DEN,C,39.0,15.0,0.134,0.0134834521860741,0.002298809469372047,13.582251082251082,65.5844155844156,CONNECTOR / HUB,CONNECTOR / HUB,0.5480097912290703
