player,player_id,mover_id,gap_seasons,position,position_detail,origin_team,origin_season,dest_team,dest_season,move,origin_role,dest_role,origin_top_play,dest_top_play,origin_init,dest_init,origin_usage,dest_usage,origin_influence,dest_influence,origin_influence_resid,dest_influence_resid,origin_archetype,dest_archetype,self_sim,decoy_sim,delta,portable,origin_tri,stability,travel_score,fit_score,decoy_sim_wtd,decoy_sim_max,blocker_mpg,n_blocker_pool,crowding_score,travel_hi,fit_hi,quadrant
D. Šarić,203967,203967_GSW23_DEN24,0,F/C,F-C,GSW,2023-24,DEN,2024-25,GSW 2023-24 → DEN 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,405,54,0.053,0.007,0.003,0.003,-0.012,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.185,0.234,-0.418,NO,GSW,0.21341251247017,0.10501989729548683,-0.234,0.26735930966210664,0.5409163439005321,36.7,10,-0.26735930966210664,True,False,redundant
P. Reed,1630194,1630194_PHI23_DET24,0,F/Wing,F,PHI,2023-24,DET,2024-25,PHI 2023-24 → DET 2024-25,PnR ball-handler / hub,PnR ball-handler / hub,PNR,PNR,410,128,0.055,0.017,0.003,0.004,-0.011,-0.007,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.329,0.109,-0.438,NO,PHI,-0.28447801078360974,0.049569527715483896,-0.109,-0.13236764440539317,0.6701545241687049,35.0,10,0.13236764440539317,False,False,irrelevant
K. Irving,202681,202681_BKN22_DAL22,0,G,Guard,BKN,2022-23,DAL,2022-23,BKN 2022-23 → DAL 2022-23,Pull-up scorer,Driving creator,PULL_UP,DRIVE,870,415,0.117,0.056,0.009,0.023,-0.022,0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.429,0.015,-0.444,NO,BKN,0.21341251247017,0.1667686460764513,-0.015,0.10920683135880493,0.5420227073929454,36.2,10,-0.10920683135880493,True,True,additive
B. Bogdanović,202711,202711_DET23_NYK23,0,G,Guard,DET,2023-24,NYK,2023-24,DET 2023-24 → NYK 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,468,274,0.062,0.038,0.006,0.001,-0.01,-0.012,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.591,-0.13,-0.461,NO,DET,-0.13884692361449666,0.07784351908560605,0.13,0.19495323727113784,0.48690585322200075,35.4,10,-0.19495323727113784,False,True,missed-need
E. Omoruyi,1630647,1630647_DET22_WAS23,0,F/Wing,F,DET,2022-23,WAS,2023-24,DET 2022-23 → WAS 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,144,154,0.019,0.019,0.007,0.011,-0.005,-0.0,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.393,0.071,-0.464,NO,DET,0.21341251247017,0.08713397479235457,-0.071,-0.019042946510021,0.641111373199469,32.6,10,0.019042946510021,False,False,irrelevant
K. Olynyk,203482,203482_TOR24_NOP24,0,F/C,Forward-Center,TOR,2024-25,NOP,2024-25,TOR 2024-25 → NOP 2024-25,PnR ball-handler / hub,Post hub,PNR,POST_UP,125,148,0.017,0.02,0.001,0.007,-0.01,-0.004,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.174,0.292,-0.466,NO,TOR,-0.09059663319810685,0.03885657087510519,-0.292,0.26694840921825747,0.5105573622986592,35.0,10,-0.26694840921825747,False,False,irrelevant
M. Morris,202693,202693_BKN22_DAL23,0,F,Forward,BKN,2022-23,DAL,2023-24,BKN 2022-23 → DAL 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,78,66,0.01,0.009,0.003,0.008,-0.008,-0.003,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.134,0.359,-0.493,NO,BKN,0.21341251247017,0.07419662742786134,-0.359,0.3410665177506827,0.5768510754383109,30.4,10,-0.3410665177506827,False,False,irrelevant
S. Mykhailiuk,1629004,1629004_CHA22_BOS23,0,F/Wing,G-F,CHA,2022-23,BOS,2023-24,CHA 2022-23 → BOS 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,164,134,0.021,0.018,0.003,0.002,-0.008,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.719,-0.217,-0.502,NO,CHA,0.21341251247017,0.08521940849031917,0.217,0.017997313903696237,0.6547694749520063,35.7,10,-0.017997313903696237,False,True,missed-need
T. Harris,202699,202699_PHI23_DET24,0,F/Wing,F,PHI,2023-24,DET,2024-25,PHI 2023-24 → DET 2024-25,PnR ball-handler / hub,Spot-up / off-ball,PNR,SPOT_UP,968,752,0.129,0.102,0.011,0.023,-0.025,-0.003,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.329,0.195,-0.523,NO,PHI,-0.2522287990956029,0.12731932317739547,-0.195,-0.02377413036686325,0.5193105862453767,35.0,10,0.02377413036686325,True,False,redundant
S. Bey,1630180,1630180_DET22_ATL22,0,F,Guard-Forward,DET,2022-23,ATL,2022-23,DET 2022-23 → ATL 2022-23,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,658,212,0.086,0.027,0.007,0.002,-0.015,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.658,-0.125,-0.534,NO,DET,0.21341251247017,0.13851791027214944,0.125,-0.03847942461155241,0.46980253533701516,36.4,10,0.03847942461155241,True,True,additive
T. Jones,1626145,1626145_MEM22_WAS23,0,G,G,MEM,2022-23,WAS,2023-24,MEM 2022-23 → WAS 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,775,681,0.099,0.086,0.008,0.117,-0.017,0.096,Peripheral / replaceable wiring,Standard role occupant,-0.554,-0.009,-0.545,NO,MEM,0.21341251247017,0.1504623488592235,0.009,0.11912707647903412,0.5456439871586677,32.6,10,-0.11912707647903412,True,True,additive
P. Washington,1629023,1629023_CHA23_DAL23,0,F,Forward,CHA,2023-24,DAL,2023-24,CHA 2023-24 → DAL 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,534,302,0.072,0.04,0.004,0.005,-0.013,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.294,0.259,-0.553,NO,CHA,0.8607562864685072,0.2162082188202356,-0.259,0.2651983760053144,0.8760452883195484,35.0,10,-0.2651983760053144,True,False,redundant
J. Okogie,1629006,1629006_PHX24_CHA24,0,G,Guard,PHX,2024-25,CHA,2024-25,PHX 2024-25 → CHA 2024-25,Spot-up / off-ball,Driving creator,SPOT_UP,DRIVE,109,117,0.015,0.016,0.004,0.008,-0.007,-0.003,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.096,0.529,-0.625,NO,PHX,0.11856189975166516,0.0666197902262608,-0.529,-0.3189719605393467,0.33888468167601404,34.2,10,0.3189719605393467,False,False,irrelevant
C. Joseph,202709,202709_DET22_GSW23,0,G,G,DET,2022-23,GSW,2023-24,DET 2022-23 → GSW 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,347,59,0.045,0.008,0.002,0.004,-0.011,-0.008,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.839,-0.138,-0.702,NO,DET,0.21341251247017,0.10057419975378301,0.138,-0.20776495169748307,0.24177885364258045,32.7,10,0.20776495169748307,False,True,missed-need
D. Wright,1626153,1626153_WAS23_MIA23,0,G,Guard,WAS,2023-24,MIA,2023-24,WAS 2023-24 → MIA 2023-24,Driving creator,Driving creator,DRIVE,DRIVE,124,66,0.016,0.009,0.03,0.002,0.019,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.66,0.053,-0.714,NO,WAS,-0.3248918713387366,0.06247036704824893,-0.053,0.19373560861775327,0.7229088981638695,34.0,10,-0.19373560861775327,False,False,irrelevant
K. Durant,201142,201142_BKN22_PHX22,0,F,Forward,BKN,2022-23,PHX,2022-23,BKN 2022-23 → PHX 2022-23,Post hub,Post hub,POST_UP,POST_UP,856,146,0.115,0.019,0.019,0.011,-0.011,-0.0,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.517,0.245,-0.762,NO,BKN,0.21341251247017,0.17865255445358874,-0.245,0.24818866879311907,0.5979073206281137,34.6,10,-0.24818866879311907,True,False,redundant
L. Shamet,1629013,1629013_PHX22_WAS23,0,G,G,PHX,2022-23,WAS,2023-24,PHX 2022-23 → WAS 2023-24,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,321,297,0.042,0.037,0.009,0.05,-0.004,0.037,Peripheral / replaceable wiring,Standard role occupant,-0.189,0.582,-0.771,NO,PHX,0.21341251247017,0.1046911838598108,-0.582,0.37425537694088196,0.9248559578680938,30.1,10,-0.37425537694088196,True,False,redundant
M. Bamba,1628964,1628964_PHI23_LAC24,0,C,C,PHI,2023-24,LAC,2024-25,PHI 2023-24 → LAC 2024-25,Spot-up / off-ball,Spot-up / off-ball,SPOT_UP,SPOT_UP,163,83,0.022,0.012,0.005,0.002,-0.006,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.688,0.093,-0.781,NO,PHI,0.21341251247017,0.08818207214809193,-0.093,0.0006509029765976953,0.3332006855158963,32.6,10,-0.0006509029765976953,False,False,irrelevant
R. Westbrook,201566,201566_LAL22_LAC22,0,G,Guard,LAL,2022-23,LAC,2022-23,LAL 2022-23 → LAC 2022-23,Driving creator,Driving creator,DRIVE,DRIVE,770,266,0.098,0.035,0.003,0.002,-0.021,-0.01,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.457,0.594,-1.052,NO,LAL,0.21341251247017,0.1425584878319947,-0.594,0.17000592985335566,0.8603300487605242,34.6,10,-0.17000592985335566,True,False,redundant
J. Toscano-Anderson,1629308,1629308_LAL22_UTA22,0,F,Forward,LAL,2022-23,UTA,2022-23,LAL 2022-23 → UTA 2022-23,Driving creator,Driving creator,DRIVE,DRIVE,75,81,0.01,0.01,0.001,0.002,-0.011,-0.009,Peripheral / replaceable wiring,Peripheral / replaceable wiring,-0.87,0.354,-1.224,NO,LAL,0.21341251247017,0.07722727893260894,-0.354,0.07673856020936748,0.8222449758880594,34.4,10,-0.07673856020936748,False,False,irrelevant
